respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.3636225812935273,0.629061918587633
26708,0.42385665281396595,0.48077283705187523
26709,0.3315866569137189,0.6434466576567526
26710,0.7513257444092223,0.8310228562003407
26711,0.5809166059651234,0.7135430570729057
26712,0.6440849040997679,0.7250443369040859
26713,0.6277034001874744,0.8326827360532711
26714,0.38671251710045645,0.5996821258730933
26715,0.29238041413845656,0.5996821258730933
26716,0.41765335843586604,0.6885499863715293
26717,0.4182093575733868,0.6151717916187937
26718,0.473425097836938,0.6600562319029459
26719,0.5720647902563755,0.8655008572597768
26720,0.40489606013266066,0.6312104249737247
26721,0.7723052329722612,0.8499400660545413
26722,0.3537641317745835,0.6434466576567526
26723,0.5966973407750765,0.7621805282016392
26724,0.34645548504269735,0.592399753743597
26725,0.38468255820866115,0.5342203934458402
26726,0.3115556477363116,0.7148014020840139
26727,0.38021829679858005,0.7012217415714951
26728,0.40012208823463463,0.6434466576567526
26729,0.37402080798383064,0.6720110188633392
26730,0.38353856385196144,0.6751362719053887
26731,0.47896471559343956,0.5369239347816609
26732,0.8085775172349763,0.7928468473123179
26733,0.7247835176144098,0.8112083222123273
26734,0.7603917233139939,0.7382309712516046
26735,0.4402438855977954,0.5678842246894842
26736,0.43056842142792173,0.715988659194781
26737,0.4274624699687467,0.6909268095709182
26738,0.6698799107081784,0.891363565784873
26739,0.39703552155750416,0.5212096695461368
26740,0.41964096821621577,0.5959931490562232
26741,0.3332038884135584,0.8323088048499123
26742,0.4213026987978969,0.6720110188633392
26743,0.4707158878885914,0.757327042060311
26744,0.4016761455526047,0.7611123444548067
26745,0.26073637055401455,0.6705462733861748
26746,0.34769076017186124,0.6152476460203755
26747,0.2838223955599658,0.6609570095302518
26748,0.4261122175601061,0.6911763154179712
26749,0.35904071126837833,0.8905745964434872
26750,0.7024462517286696,0.8848784109481312
26751,0.6133298593924433,0.6923910342209307
26752,0.27613932598929375,0.47935013346768035
26753,0.32312152421098495,0.659464474783375
26754,0.6702809125244698,0.8944676697823777
26755,0.3678546557698456,0.46653286006037414
26756,0.48040023935859877,0.6289118587318873
26757,0.691050376912123,0.8619600114522682
26758,0.7635715432172194,0.8847565797204978
26759,0.4061895457432771,0.6028175158834364
26760,0.33890392187302876,0.6455587912117274
26761,0.6744364606990502,0.7584023068577158
26762,0.7200046087800402,0.6679381849945414
26763,0.7041967592780461,0.8891820587275518
26764,0.7947459058554234,0.8905165212370894
26765,0.31866999619730124,0.8730178734273865
26766,0.3798510756371193,0.6610288119509892
26767,0.7030003764486773,0.8410208177393336
26768,0.34072364682949646,0.8034166946833315
26769,0.38391240549315553,0.6609570095302518
26770,0.3247950253487566,0.7712512157138164
26771,0.5183540759998075,0.6396172416098947
26772,0.4407277304541599,0.6445915167523627
26773,0.4678562803864895,0.8799692182759672
26774,0.6426955237721524,0.848970687243951
26775,0.333150803728604,0.6198720441826213
26776,0.6707210165796167,0.7737599836072242
26777,0.3027252292441946,0.8966735450185223
26778,0.3397366131553806,0.29445451401637635
26779,0.4213026987978969,0.6146826773897301
26780,0.25511248377508194,0.8914697258417834
26781,0.3844993725748789,0.5996051998182534
26782,0.25357321877297356,0.5600195782975738
26783,0.3414703971295817,0.6152476460203755
26784,0.7381396022430179,0.769580116175234
26785,0.690181985676277,0.841581830174225
26786,0.3329570876852036,0.5956450057546099
26787,0.3636317675637685,0.6304830432699057
26788,0.6239458050036908,0.8341149109330853
26789,0.277665562419032,0.8035572080518757
26790,0.32917069621924466,0.6006082600711846
26791,0.41183916378013224,0.3713891263008771
26792,0.32004289199085245,0.6651343310406456
26793,0.25105497446889596,0.8327908700487698
26794,0.59268242009151,0.8315542524083093
26795,0.3510381129463195,0.8160905951407378
26796,0.4738810732463656,0.6694984861938589
26797,0.6239458050036908,0.8572565247481577
26798,0.36535532286134786,0.63797200288048
26799,0.3414703971295817,0.6152476460203755
26800,0.24597524697724615,0.8719043020315483
26801,0.5458381525084431,0.8410208177393336
26802,0.3603734627759044,0.6720110188633392
26803,0.3285482885555452,0.5969478628390972
26804,0.492001951910296,0.6369630760359201
26805,0.5054081958018872,0.34419919189223935
26806,0.24614449507304534,0.8331542781003539
26807,0.7477506627566493,0.7715099731149136
26808,0.4390631627478731,0.6734333060765695
26809,0.6475751896528386,0.42573284777592324
26810,0.39893747699259635,0.6442204004133416
